Name,Salary,Team,Position,Opp,Pt/$/K,pOWN%,Floor,Ceil,PMIN,DvPRank,DvP,Points
Brandon Knight,$3.6K,CLE,PG/SG,BOS,5.01,0.50%,4.34,36.02,24,11,38.14,18.02
Tristan Thompson,$4.3K,CLE,C,BOS,4.12,0.10%,3.05,35.44,18,15,31.21,17.73
Marco Belinelli,$3.4K,SAS,SG/SF,@ CHA,5.21,0.60%,5.18,29.47,23,25,24.48,17.73
Derrick Jones Jr.,$3.9K,MIA,SF/PF,ORL,4.53,0.40%,5.44,35.32,22,18,23.07,17.67
Devonte' Graham,$3.3K,CHA,PG/SG,SAS,5.27,1.50%,14.6,24.36,20,20,22.18,17.4
Dirk Nowitzki,$3.3K,DAL,PF/C,SAC,5.24,0.80%,6.29,31.35,20,24,33.35,17.28
Gorgui Dieng,$3.2K,MIN,PF/C,LAC,5.34,0.40%,4.58,30.28,15,29,35.61,17.08
Willy Hernangomez,$3.5K,CHA,C,SAS,4.8,0.20%,4.06,33.56,15,23,32.49,16.79
Davis Bertans,$3.6K,SAS,SF/PF,@ CHA,4.59,0.10%,4.34,33.02,22,28,34.31,16.52
Timothe Luwawu-Cabarrot,$3.2K,CHI,SG/SF,@ TOR,5.05,0.20%,4.49,32.3,24,16,25.72,16.16
Garrett Temple,$3.4K,LAC,SG/SF,@ MIN,4.72,0.20%,4.01,32.08,27,29,27.59,16.05
Aron Baynes,$3.6K,BOS,C,@ CLE,4.45,0.80%,3.2,32,17,24,32.68,16.01
Langston Galloway,$3.4K,DET,PG/SG,@ DEN,4.66,0.20%,3.96,31.64,24,11,21.69,15.83
Vince Carter,$3.9K,ATL,SF/PF,@ NOP,4.05,0.10%,3.94,31.54,20,13,21.8,15.78
JaMychal Green,$3.4K,LAC,SF/PF,@ MIN,4.64,0.20%,3.33,31.54,16,23,33.1,15.78
Jeff Green,$4.6K,WAS,SF/PF,@ LAL,3.42,0.10%,3.93,31.42,20,1,27.59,15.72
James Johnson,$4.2K,MIA,SF/PF,ORL,3.74,0.10%,7.86,31.17,19,9,29.41,15.72
Kent Bazemore,$4.0K,ATL,SG/SF,@ NOP,3.91,0.10%,5.61,26.13,16,28,30.51,15.62
D.J. Wilson,$3.7K,MIL,PF/C,HOU,4.17,0.10%,3.7,30.84,17,13,30.25,15.43
Sterling Brown,$3.1K,MIL,SG/SF,HOU,4.91,0.20%,4.47,30.42,20,17,22.81,15.22
David Nwaba,$3.4K,CLE,SG/SF,BOS,4.45,0.10%,3.24,30.22,20,3,21.63,15.12
Stanley Johnson,$3.5K,NOP,SF/PF,ATL,4.25,0.10%,3.3,28.79,18,30,31.49,14.88
Wes Iwundu,$3.2K,ORL,SG/SF,@ MIA,4.64,0.20%,3.87,29.67,23,25,26.8,14.84
Cristiano Felicio,$3.2K,CHI,C,@ TOR,4.47,0.10%,2.15,26.37,17,10,30.3,14.3
George Hill,$3.1K,MIL,PG/SG,HOU,4.5,0.20%,3.71,26.98,20,22,22.67,13.96
Trey Burke,$3.6K,DAL,PG/SG,SAC,3.83,0.60%,3.94,23.35,14,19,40.59,13.77
Thon Maker,$3.7K,DET,PF/C,@ DEN,3.72,0.10%,3.44,27.49,17,11,30.32,13.75
Michael Carter-Williams,$3.1K,ORL,PG,@ MIA,4.44,0.20%,4.98,27.49,16,8,37.56,13.75
Torrey Craig,$3.4K,DEN,SG/SF,DET,4.02,0.10%,3.1,27.31,22,8,24.73,13.66
Khem Birch,$3.4K,ORL,PF/C,@ MIA,4.01,0.10%,3.94,21.47,15,1,25.85,13.63
Malik Monk,$3.3K,CHA,PG/SG,SAS,4.12,0.10%,3.82,26.45,15,21,41.12,13.6
Anthony Tolliver,$3.3K,MIN,SF/PF,LAC,4.1,0.10%,4.25,24.51,19,17,30.9,13.54
Brandon Sampson,$3.0K,CHI,PG/SG,@ TOR,4.51,0.20%,10.71,18.93,19,19,23.14,13.52
DeAndre Bembry,$3.6K,ATL,SG/SF,@ NOP,3.74,0.10%,3.53,22.57,15,9,24.8,13.48
Devin Harris,$3.4K,DAL,PG/SG,SAC,3.77,0.10%,3.05,25.49,16,19,40.59,12.81
Keita Bates-Diop,$3.4K,MIN,SF,LAC,3.72,0.60%,9.56,17.7,18,17,30.9,12.64
Bismack Biyombo,$3.4K,CHA,C,SAS,3.58,0.10%,3.65,20.81,13,23,32.49,12.17
Moritz Wagner,$3.3K,LAL,PF/C,WAS,3.67,0.10%,10.16,16.95,14,21,32.63,12.11
Jaylen Adams,$3.2K,ATL,PG,@ NOP,3.75,0.10%,9.36,16.81,15,15,39.75,12.01
Jerryd Bayless,$3.2K,MIN,PG/SG,LAC,3.64,0.10%,3.42,23.27,17,12,24.96,11.64
Nene Hilario,$3.1K,HOU,C,@ MIL,3.73,1.30%,3.31,21.96,12,2,26.04,11.56
Salah Mejri,$3.2K,DAL,C,SAC,3.5,0.10%,3.31,22.37,10,16,31.29,11.19
OG Anunoby,$3.4K,TOR,SF/PF,CHI,3.25,0.10%,2.47,20.32,15,26,27.64,11.06
Austin Rivers,$3.2K,HOU,PG/SG,@ MIL,3.44,0.10%,2.59,22.03,18,21,22.58,11.02
Dorian Finney-Smith,$4.1K,DAL,SF/PF,SAC,2.63,0.10%,4.15,21,15,19,25.99,10.78
Ryan Broekhoff,$3.3K,DAL,SG/SF,SAC,3.22,0.10%,8.02,14.85,14,12,21.79,10.61
Brad Wanamaker,$3.1K,BOS,PG/SG,@ CLE,3.36,0.10%,8.24,14.57,12,27,24.1,10.41
Yogi Ferrell,$3.1K,SAC,PG/SG,@ DAL,3.34,0.10%,3.18,20.4,13,28,42.81,10.34
Bruce Brown,$3.1K,DET,SG/SF,@ DEN,3.2,0.10%,6.89,13.87,18,11,21.69,9.91
Iman Shumpert,$3.4K,HOU,SG/SF,@ MIL,2.9,0.10%,3.08,19.73,15,15,22.48,9.87
Norman Powell,$3.6K,TOR,SG/SF,CHI,2.72,0.10%,2.5,19.59,12,27,25.01,9.8
Zaza Pachulia,$3.1K,DET,C,@ DEN,3.06,0.10%,3.07,16.99,10,11,30.32,9.48
Juancho Hernangomez,$3.0K,DEN,SF/PF,DET,3.11,0.10%,1.87,18.67,12,2,27.65,9.34
Kosta Koufos,$3.0K,SAC,C,@ DAL,3.09,0.10%,2.06,18.53,10,13,30.69,9.27
Nik Stauskas,$3.0K,CLE,SG/SF,BOS,3.04,0.10%,3.64,16.87,15,3,20.15,9.11
Tony Parker,$3.2K,CHA,PG,SAS,2.71,0.10%,2.26,15.4,9,20,22.18,8.67
Ian Clark,$3.6K,NOP,PG/SG,ATL,2.31,0.10%,2.17,16.63,12,9,21.5,8.32
Wilson Chandler,$3.1K,LAC,SF/PF,@ MIN,2.51,0.10%,1.87,15.55,10,12,24.9,7.78
Chasson Randle,$3.1K,WAS,PG/SG,@ LAL,2.48,0.10%,1.85,15.37,10,29,43.61,7.69
Sindarius Thornwell,$3.0K,LAC,SG/SF,@ MIN,2.55,0.10%,1.47,15.29,12,12,24.9,7.65
Patrick McCaw,$3.0K,TOR,SG/SF,CHI,2.46,0.10%,2.17,14.73,10,27,25.01,7.37
Corey Brewer,$3.1K,SAC,SG/SF,@ DAL,2.35,0.10%,2.78,14.57,11,8,21.28,7.29
Jeremy Lin,$3.9K,TOR,PG/SG,CHI,1.84,0.10%,2.05,13.41,8,24,42.54,7.16
Johnathan Williams,$3.3K,LAL,PF/C,WAS,2.17,0.10%,6.01,10.02,12,15,30.36,7.16
Cameron Reynolds,$3.0K,MIN,PG/SG,LAC,2.35,0.10%,5.32,9.86,10,5,20.97,7.04
Dairis Bertans,$3.0K,NOP,SG,ATL,2.26,0.10%,5.12,9.48,10,9,21.5,6.77
Marquese Chriss,$3.4K,CLE,PF/C,BOS,1.79,0.10%,1.45,11.93,7,15,31.61,6.1
Justin Anderson,$3.0K,ATL,SF,@ NOP,1.56,0.10%,1.32,9.05,6,9,24.8,4.69
Christian Wood,$3.0K,NOP,PF/C,ATL,0.91,0.10%,0.65,5.44,4,27,34.14,2.72
Courtney Lee,$3.0K,DAL,SG/SF,SAC,0.66,0.10%,0.35,3.98,3,12,21.79,1.99
Semi Ojeleye,$3.0K,BOS,SF/PF,@ CLE,0.42,0.10%,0.37,2.5,2,21,26.35,1.25
